,comm_id,leg_id
825,HSED14,D000623
826,HSED14,M001206
827,HSFA,M001157
828,HSFA,S000522
829,HSFA,C000266
830,HSFA,W000795
831,HSFA,P000605
832,HSFA,Y000065
833,HSFA,K000378
834,HSFA,Z000017
835,HSFA,S000244
836,HSFA,W000812
837,HSFA,M001199
838,HSFA,R000607
839,HSFA,F000466
840,HSFA,C001114
841,HSFA,B001297
842,HSFA,W000827
843,HSFA,R000610
844,HSFA,B001309
845,HSFA,P000615
846,HSFA,W000824
847,HSFA,G000591
848,HSFA,E000179
849,HSFA,S000344
850,HSFA,M001137
851,HSFA,S001165
852,HSFA,C001078
853,HSFA,D000610
854,HSFA,B001270
855,HSFA,K000375
856,HSFA,C001084
857,HSFA,B001287
858,HSFA,C001091
859,HSFA,T000468
860,HSFA,E000297
861,HSFA,L000582
862,HSFA,W000826
863,HSFA,P000616
864,HSFA,O000173
865,HSFA,A000376
866,HSFA,L000592
867,HSFA,S001209
868,HSFA,H001085
869,HSFA,M001203
870,HSFA,T000483
871,HSFA,C001059
872,HSFA,V000130
873,HSFA,G000581
874,HSFA05,Y000065
875,HSFA05,P000605
876,HSFA05,W000812
877,HSFA05,M001199
878,HSFA05,C001114
879,HSFA05,S000344
880,HSFA05,T000468
881,HSFA05,H001085
882,HSFA05,C001078
883,HSFA05,B001287
884,HSFA05,L000592
885,HSFA05,S001209
886,HSFA07,R000607
887,HSFA07,S000522
888,HSFA07,Y000065
889,HSFA07,C001114
890,HSFA07,B001297
891,HSFA07,G000591
892,HSFA07,S001165
893,HSFA07,M001137
894,HSFA07,C001091
895,HSFA07,E000297
896,HSFA07,P000616
897,HSFA07,L000592
898,HSFA07,G000581
899,HSFA07,V000130
900,HSFA13,W000795
901,HSFA13,C000266
902,HSFA13,K000378
903,HSFA13,Z000017
904,HSFA13,M001199
905,HSFA13,F000466
906,HSFA13,R000610
907,HSFA13,W000824
908,HSFA13,D000610
909,HSFA13,C001078
910,HSFA13,C001084
911,HSFA13,L000582
912,HSFA13,A000376
913,HSFA13,M001203
914,HSFA13,T000483
915,HSFA13,S000344
916,HSFA13,K000375
917,HSFA13,V000130
918,HSFA14,K000378
919,HSFA14,W000795
920,HSFA14,W000812
921,HSFA14,S000244
922,HSFA14,R000607
923,HSFA14,F000466
924,HSFA14,P000615
925,HSFA14,W000827
926,HSFA14,G000591
927,HSFA14,B001309
928,HSFA14,K000375
929,HSFA14,S001209
930,HSFA14,M001137
931,HSFA14,S001165
932,HSFA14,D000610
933,HSFA14,C001084
934,HSFA14,T000468
935,HSFA14,W000826
936,HSFA14,T000483
937,HSFA14,C001059
938,HSFA14,G000581
939,HSFA14,C001091
940,HSFA16,S000522
941,HSFA16,W000827
942,HSFA16,B001309
943,HSFA16,B001270
944,HSFA16,S000244
945,HSFA16,W000826
946,HSFA16,P000616
947,HSFA16,O000173
948,HSFA16,H001085
949,HSFA17,Z000017
950,HSFA17,P000605
951,HSFA17,B001297
952,HSFA17,R000610
953,HSFA17,B001287
954,HSFA17,O000173
955,HSFA17,E000297
956,HSFA17,L000582
957,HSFA17,M001203
958,HSFA17,C001084
959,HSGO,J000289
960,HSGO,G000565
961,HSGO,F000450
962,HSGO,M001184
963,HSGO,M001187
964,HSGO,H001071
965,HSGO,G000576
966,HSGO,C001108
967,HSGO,C001115
968,HSGO,G000563
969,HSGO,H001077
970,HSGO,N000190
971,HSGO,R000614
972,HSGO,M001205
973,HSGO,G000590
974,HSGO,A000377
975,HSGO,S001214
976,HSGO,M000087
977,HSGO,N000147
978,HSGO,C001049
979,HSGO,L000562
980,HSGO,C000754
981,HSGO,C001078
982,HSGO,K000391
983,HSGO,R000606
984,HSGO,R000616
985,HSGO,H001087
986,HSGO,W000797
987,HSGO,S001168
988,HSGO,W000800
989,HSGO,S001175
990,HSGO,K000385
991,HSGO,D000623
992,HSGO,L000581
993,HSGO,P000610
994,HSGO,K000389
995,HSGO,G000585
996,HSGO,O000172
997,HSGO,P000617
998,HSGO,T000481
999,HSGO,K000395
1000,HSGO06,H001071
1001,HSGO06,G000565
1002,HSGO06,F000450
1003,HSGO06,M001187
1004,HSGO06,C001115
1005,HSGO06,G000590
1006,HSGO06,L000562
1007,HSGO06,C000754
1008,HSGO06,W000800
1009,HSGO06,R000616
1010,HSGO06,W000797
1011,HSGO06,K000385
1012,HSGO06,D000623
1013,HSGO06,P000610
1014,HSGO06,L000581
1015,HSGO06,H001077
1016,HSGO24,M001187
1017,HSGO24,M001184
1018,HSGO24,H001071
1019,HSGO24,G000576
1020,HSGO24,C001108
1021,HSGO24,N000190
1022,HSGO24,S001214
1023,HSGO24,C001078
1024,HSGO24,N000147
1025,HSGO24,S001168
1026,HSGO24,S001175
1027,HSGO24,L000581
1028,HSGO24,P000610
1029,HSGO24,K000389
1030,HSGO24,L000562
1031,HSGO24,R000606
1032,HSGO28,C001108
1033,HSGO28,G000565
1034,HSGO28,G000563
1035,HSGO28,A000377
1036,HSGO28,R000616
1037,HSGO28,H001087
1038,HSGO28,T000481
1039,HSGO28,K000391
1040,HSGO28,S001175
1041,HSGO28,G000585
1042,HSGO28,O000172
1043,HSGO28,K000395
1044,HSHA,D000619
1045,HSHA,W000819
1046,HSHA,L000583
1047,HSHA,L000397
1048,HSHA,R000606
1049,HSHA,D000598
1050,HSHA,B001251
1051,HSHA,F000455
1052,HSHA,A000371
1053,HSHA01,F000455
1054,HSHA01,B001251
1055,HSHA01,A000371
1056,HSHA01,D000619
1057,HSHM,R000575
1058,HSHM,K000210
1059,HSHM,M001157
1060,HSHM,K000386
1061,HSHM,R000601
1062,HSHM,W000819
1063,HSHM,H001077
1064,HSHM,L000589
1065,HSHM,G000590
1066,HSHM,T000479
1067,HSHM,J000302
1068,HSHM,C001120
1069,HSHM,G000591
1070,HSHM,T000193
1071,HSHM,J000032
1072,HSHM,L000559
1073,HSHM,R000588
1074,HSHM,P000604
1075,HSHM,R000602
1076,HSHM,C001110
1077,HSHM,T000484
1078,HSHM,R000613
1079,HSHM,U000040
1080,HSHM,S001208
1081,HSHM,C001061
1082,HSHM,G000553
1083,HSHM,C001067
1084,HSHM,T000468
1085,HSHM,W000822
1086,HSHM,B001300
1087,HSHM,D000627
1088,HSHM05,R000613
1089,HSHM05,J000032
1090,HSHM05,L000559
1091,HSHM05,S001208
1092,HSHM05,T000193
1093,HSHM05,W000819
1094,HSHM05,K000210
1095,HSHM05,G000590
1096,HSHM05,R000575
1097,HSHM07,C001110
1098,HSHM07,C001061
1099,HSHM07,T000468
1100,HSHM07,W000822
1101,HSHM07,B001300
1102,HSHM07,D000627
1103,HSHM07,T000193
1104,HSHM07,L000589
1105,HSHM07,K000386
1106,HSHM07,R000601
1107,HSHM07,G000590
1108,HSHM07,R000575
1109,HSHM08,R000588
1110,HSHM08,J000032
1111,HSHM08,L000559
1112,HSHM08,R000602
1113,HSHM08,U000040
1114,HSHM08,S001208
1115,HSHM08,T000193
1116,HSHM08,K000386
1117,HSHM08,R000601
1118,HSHM08,W000819
1119,HSHM08,T000479
1120,HSHM08,R000575
1121,HSHM09,T000484
1122,HSHM09,T000468
1123,HSHM09,W000822
1124,HSHM09,B001300
1125,HSHM09,T000193
1126,HSHM09,C001120
1127,HSHM09,H001077
1128,HSHM09,T000479
1129,HSHM09,R000575
1130,HSHM11,R000602
1131,HSHM11,P000604
1132,HSHM11,C001110
1133,HSHM11,T000484
1134,HSHM11,G000553
1135,HSHM11,C001067
1136,HSHM11,T000193
1137,HSHM11,H001077
1138,HSHM11,L000589
1139,HSHM11,J000302
1140,HSHM11,G000591
1141,HSHM11,R000575
1142,HSHM12,P000604
1143,HSHM12,R000588
1144,HSHM12,R000613
1145,HSHM12,U000040
1146,HSHM12,G000553
1147,HSHM12,C001067
1148,HSHM12,T000193
1149,HSHM12,K000210
1150,HSHM12,J000302
1151,HSHM12,C001120
1152,HSHM12,G000591
1153,HSHM12,R000575
1154,HSIF,W000791
1155,HSIF,U000031
1156,HSIF,S000364
1157,HSIF,B001248
1158,HSIF,S001176
1159,HSIF,L000566
1160,HSIF,M001159
1161,HSIF,G000558
1162,HSIF,O000168
1163,HSIF,M001180
1164,HSIF,K000378
1165,HSIF,G000568
1166,HSIF,B001257
1167,HSIF,J000292
1168,HSIF,L000576
1169,HSIF,B001275
1170,HSIF,F000461
1171,HSIF,B001284
1172,HSIF,M001190
1173,HSIF,H001067
1174,HSIF,W000798
1175,HSIF,C001103
1176,HSIF,D000615
1177,HSIF,G000584
1178,HSIF,P000034
1179,HSIF,R000515
1180,HSIF,E000215
1181,HSIF,E000179
1182,HSIF,D000197
1183,HSIF,D000482
1184,HSIF,S001145
1185,HSIF,B001251
1186,HSIF,M001163
1187,HSIF,C001066
1188,HSIF,S001168
1189,HSIF,M001166
1190,HSIF,W000800
1191,HSIF,L000570
1192,HSIF,T000469
1193,HSIF,C001067
1194,HSIF,L000565
1195,HSIF,S001180
1196,HSIF,K000379
1197,HSIF,C001097
